Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
1	NCT04913857	Effects of SUDOKU Mind Activation & Revitalizing Training on Cognitive Function in People With Mild Cognitive Impairment	SMART	Recruiting	No Results Available	Mild Cognitive Impairment	Behavioral: 24-week SUDOKU Training Programme|Other: Control Arm (wait-list)	Cantonese version of the Alzheimer's Disease Assessment Scale-Cognitive subscale (ADAS-Cog)|The digit span-forward and backward test|The list learning delayed recall test|Trail-Making Test Part A and B|Memory Inventory for Chinese|The 36-item Chinese version of the Short Form 36 (SF-36)	The University of Hong Kong	All	55 Years and older   (Adult, Older Adult)	Not Applicable	288	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	SMART	January 15, 2020	December 31, 2021	March 31, 2022	June 4, 2021		June 4, 2021	School of Nursing, LKS Faculty of Medicine, Hong Kong, Hong Kong	"Informed Consent Form", https://ClinicalTrials.gov/ProvidedDocs/57/NCT04913857/ICF_000.pdf	https://ClinicalTrials.gov/show/NCT04913857
2	NCT03906903	Transcranial Magnetic Stimulation and Cognitive Stimulation in Mild Cognitive Impairment	rTMS&MCI	Unknown status	No Results Available	Mild Cognitive Impairment	Device: Repetitive Transcranial Magnetic Stimulation|Behavioral: Cognitive Stimulation	Montreal Cognitive Assessment (MoCA)|Mini Mental State Examination (MMSE)|Attention and Memory Neuropsychological Battery (NEUROPSI)|Changes in Depressive symptoms evaluated by Geriatric Depression Scale (GDS - Yesavage - Brink)|Changes in impulsive behavior evaluated by Barratt Impulsivity Scale (BIS-11)	Universidad Autonoma de Queretaro	All	60 Years to 85 Years   (Adult, Older Adult)	Not Applicable	20	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	05-01/02/2018	March 5, 2018	March 30, 2019	August 30, 2019	April 8, 2019		April 16, 2019	Autonomous University of Queretaro, Querétaro City, Querétaro, Mexico		https://ClinicalTrials.gov/show/NCT03906903
3	NCT05515952	Interleaved TMS-fMRI for Hippocampal Stimulation: Modeling Dose-Response Relationship in Amnestic Mild Cognitive Impairment	TMS-fMRI	Not yet recruiting	No Results Available	Mild Cognitive Impairment	Device: Transcranial Magnetic Stimulation|Device: Transcranial Magnetic Stimulation (Low Intensity)	Brain imaging data|Correction rate in memory association recall	University of Arizona|National Institute on Aging (NIA)	All	50 Years to 80 Years   (Adult, Older Adult)	Not Applicable	38	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	R21AG077153	September 2022	March 2024	March 31, 2024	August 25, 2022		August 25, 2022	Bioscience Research Laboratory, Tucson, Arizona, United States		https://ClinicalTrials.gov/show/NCT05515952
4	NCT05041790	A Clinical Trial to Evaluate the Efficacy and Safety of Choline Alfoscerate Compared to Placebo in Patients With Degenerative Mild Cognitive Impairment		Not yet recruiting	No Results Available	Mild Cognitive Impairment	Drug: Choline Alfoscerate|Drug: Placebo	The proportion of subjects whose cognitive function is maintained/improved at 48 weeks compared to baseline|The proportion of subjects reduced by more than or equal to 0 points for modified ADAS-Cog score at 24 weeks compared to baseline|The proportion of subjects reduced by more than 2 points of modified ADAS-Cog score at 24 to 48 weeks compared to baseline|The proportion of subjects reduced by more than 4 points of modified ADAS-Cog score at 24 to 48 weeks compared to baseline|The change of Modified ADAS-Cog score at 24 to 48 weeks compared to baseline|The proportion of subjects increased by more than or equal to 0 point of K-MMSE-2 score at 24 and 48 weeks compared to baseline|The change of K-MMSE-2 score at 24 to 48 weeks compared to baseline|The change of CDR-SB score at 48 weeks compared to baseline	Chong Kun Dang Pharmaceutical|Choline Alfoscerate Re-evaluation Consortium (57 pharmaceutical companies)	All	55 Years and older   (Adult, Older Adult)	Phase 4	418	Industry|Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	B78_02MCI2003	September 30, 2021	November 30, 2024	November 30, 2024	September 13, 2021		September 20, 2021	Asan Medical Center Institutional Review Board, Seoul, Korea, Republic of		https://ClinicalTrials.gov/show/NCT05041790
5	NCT05336942	Correlation Between Prognosis of Mild Cognitive Impairment and Hearing Function in Community Elderly		Completed	No Results Available	Mild Cognitive Impairment		Mini-mental state examination (MMSE)|Montreal Cognitive Assessment (MocA)|Pure tone Listening Test (PTA)|Clinical Dementia Rating (CDR)|Auditory brainstem response (ABR)	Tongji University	All	55 Years to 65 Years   (Adult, Older Adult)		90	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	PKJ2019-Y24	November 1, 2020	December 30, 2021	March 30, 2022	April 20, 2022		April 20, 2022	Tongji University, Shanghai, China		https://ClinicalTrials.gov/show/NCT05336942
6	NCT03974087	The Effect of Transcranial Direct Current Stimulation on Visual Attention in Mild Cognitive Impairment		Recruiting	No Results Available	Mild Cognitive Impairment	Device: Transcranial Direct Current Stimulation (tDCS)	Visual-attention task accuracy|Psychological assessment - z-score computed from multiple psychological domains|Magnetic resonance imaging	Masaryk University|St. Anne's University Hospital Brno, Czech Republic	All	60 Years to 85 Years   (Adult, Older Adult)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care	NV18-04-00256	February 19, 2020	April 30, 2022	July 30, 2022	June 4, 2019		April 6, 2022	Ceitec, Masaryk University, Brno, Czechia		https://ClinicalTrials.gov/show/NCT03974087
7	NCT03167840	Falls Prevention Through Physical And Cognitive Training in Mild Cognitive Impairment	FallsPACT	Unknown status	No Results Available	Mild Cognitive Impairment	Behavioral: Physical and Cognitive Training|Behavioral: Physical Training|Behavioral: Cognitive training	Falls Rate|Change in Physiologic Profile Assessment (PPA) score|Change in Falls Risks for Older People in the Community (FROP-Com) Screen score|Change in Global Cognitive Function|Change in Memory Function|Change in Executive Function|Change in Balance|Change in Gait Speed|Change in Muscle Strength	The Hong Kong Polytechnic University|University of Santo Tomas Hospital, Philippines	All	60 Years and older   (Adult, Older Adult)	Not Applicable	95	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention	HSEARS20170402001	September 6, 2017	January 31, 2018	August 31, 2018	May 30, 2017		April 27, 2018	University of Santo Tomas, Manila, Metro Manila, Philippines		https://ClinicalTrials.gov/show/NCT03167840
8	NCT03405857	Effects of the Cognitive Enhancing ICT Contents in Patients With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Other: Cognitive rehabilitation program	Change from baseline performance on Digit Span Test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Visual Span Test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Visual Continuous Performance Test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Auditory Continuous Performance Test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Trail Making Test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Stroop test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Visual Recognition test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline performance on Auditory Verbal Learning test (Neuropsychological test) at 4 weeks and 8 weeks|Change from baseline score on Korean Version of Geriatric Depression Test Short Form (Depression scale) at 4 weeks and 8 weeks|Change from baseline activity on functional Near-Infrared Spectroscopy (fNIRS) at 4 weeks and 8 weeks	Samsung Medical Center	All	55 Years to 75 Years   (Adult, Older Adult)	Not Applicable	40	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment	2016-01-013-010	May 25, 2016	January 25, 2018	April 7, 2018	January 23, 2018		August 2, 2018	Samsung Medical Center, Seoul, Korea, Republic of		https://ClinicalTrials.gov/show/NCT03405857
9	NCT02388451	The Benefits of the Use of the Feuerstein Cognitive Training Method on Cognitive Function in Community-dwelling Older Patients With Mild Cognitive Impairment: a Pilot Study		Completed	No Results Available	Mild Cognitive Impairment	Device: Feuerstein Program	Mindstreams Mild Cognitive Impairment Computerized Assessment Battery	Meir Medical Center	All	65 Years and older   (Older Adult)	Not Applicable	11	Other	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care	001	December 2015	July 2017	August 2018	March 17, 2015		January 23, 2019	Yan Press, Beer-Sheva, Israel		https://ClinicalTrials.gov/show/NCT02388451
10	NCT03441152	The Effects of Transcranial Direct Current Stimulation in Mild Cognitive Impairment		Unknown status	No Results Available	Mild Cognitive Impairment	Device: tDCS	Montreal Cognitive Assessment (MoCA)|Digit Span Test|Trial Making Test (TMT)|Riverhead Behavioral Memory Test (3rd edition) (RBMT-3)	The Hong Kong Polytechnic University	All	60 Years to 85 Years   (Adult, Older Adult)	Not Applicable	66	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	HongKongPUPabloRS	July 1, 2017	August 2018	August 2018	February 22, 2018		February 22, 2018	The Hong Kong Polytechnic University, Hong Kong, Hong Kong		https://ClinicalTrials.gov/show/NCT03441152
