drug	status	target	atc
lepirudin	non		
phylloquinone	non		
calcium	non		
lepirudin	approved	F2	B01AE02
cetuximab	non		
cetuximab	approved	EGFR	L01XC06
dornase alfa	approved		R05CB13
denileukin diftitox	approved	IL2RA,IL2RB	L01XX29
etanercept	approved	TNF,LTA	L04AB01
bivalirudin	non		
phylloquinone	non		
calcium	non		
bivalirudin	approved	F2	B01AE06
leuprolide	approved	GNRHR	L02AE51
peginterferon alfa-2a	approved	IFNAR2,IFNAR1	L03AB11
alteplase	non		
phylloquinone	non		
calcium	non		
alteplase	approved	PLG,FGA	B01AD02
sermorelin	approved	GHRHR	V04CD03
interferon alfa-n1	approved	IFNAR2,IFNAR1	L03AB06
darbepoetin alfa	approved	EPOR	B03XA02
urokinase	non		
phylloquinone	non		
calcium	non		
urokinase	approved	PLG,PLAUR,SERPINE1,SERPINB2	B01AD04
goserelin	approved	LHCGR,GNRHR	L02AE03
reteplase	non		
phylloquinone	non		
calcium	non		
reteplase	approved	PLG,FGA	B01AD07
erythropoietin	approved	EPOR	B03XA01
salmon calcitonin	approved		H05BA01
interferon alfa-n3	approved	IFNAR1,IFNAR2	
pegfilgrastim	approved	CSF3R	L03AA13
sargramostim	approved	CSF2RA,IL3RA,CSF2RB	L03AA09
peginterferon alfa-2b	approved	IFNAR1,IFNAR2	L03AB10
asparaginase escherichia coli	approved		L01XX02
thyrotropin alfa	approved	TSHR	H01AB01
antihemophilic factor, human recombinant	approved	F10,F9,VWF	B02BD02
anakinra	approved	IL1R1	L04AC03
gramicidin d	approved		R02AB30
human immunoglobulin g	approved	FCGR1A,FCGR1B,FCGR2A,FCGR2B,FCGR2C,FCGR3A,FCGR3B,C3,C4A,C4B,C5	
anistreplase	non		
phylloquinone	non		
calcium	non		
anistreplase	approved	PLG,FGA	B01AD03
insulin human	approved	INSR	A10AC01
tenecteplase	non		
phylloquinone	non		
calcium	non		
tenecteplase	approved	PLG,FGA	B01AD11
menotropins	approved	FSHR,LHCGR	G03GA02
interferon gamma-1b	approved	IFNGR1,IFNGR2	
interferon alfa-2a, recombinant	approved	IFNAR1,IFNAR2	L03AB04
desmopressin	approved	AVPR2,AVPR1A,AVPR1B	H01BA02
coagulation factor viia recombinant human	approved		B02BD08
oprelvekin	approved	IL11RA	L03AC02
palifermin	approved	FGFR2	V03AF08
glucagon	approved	GCGR	H04AA01
aldesleukin	approved	IL2RB,IL2RA,IL2RG	L03AC01
botulinum toxin type b	approved	VAMP2,VAMP1,SYT2	M03AX01
omalizumab	approved	FCER1A,MS4A2	R03DX05
lutropin alfa	approved	LHCGR	G03GA07
lyme disease vaccine (recombinant ospa)	approved	TLR2	
insulin lispro	approved	INSR	A10AC04
insulin glargine	approved	INSR	A10AE54
collagenase clostridium histolyticum	approved	COL1A1,COL2A1,COL3A1	D03BA02
rasburicase	approved		V03AF07
cetrorelix	approved	GNRHR	H01CC02
adalimumab	approved	TNF	L04AB04
somatotropin	approved	GHR,PRLR	H01AC01
imiglucerase	approved		A16AB02
abciximab	non		
abciximab	approved	ITGB3,ITGA2B	B01AC13
drotrecogin alfa	approved	F8,F5	B01AD10
gemtuzumab ozogamicin	approved	CD33	L01XC05
