disease_area	nct	year	intervention_name	drug	regulatory_status	approval_year	patient_years	gen_assoc	target_gene	target_status	classification	priority
parkinson	NCT00004576	2000	ly300164	talampanel	experimental					non	novel, unsup	2
parkinson	NCT00006077	2000	ns2330	tesofensine	experimental					non	novel, unsup	2
parkinson	NCT00006337	2000	kw-6002	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
alzheimer	NCT00007189	2001	celecoxib (celebrex)	celecoxib	approved				PTGS2	approved	repurposing	3
parkinson	NCT00009048	2001	emd 128130	sarizotan	experimental					non	novel, unsup	2
alzheimer	NCT00009191	2005	sertraline [zoloft]	sertraline	approved				SLC6A4	approved	repurposing	3
alzheimer	NCT00010803	2000	ginkgo biloba	ginkgo biloba	supplement		32979.67145790554			non	novel, unsup	2
alzheimer	NCT00013650	2001	cyclophosphamate	cyclophosphamide	approved					non	repurposing	3
alzheimer	NCT00015548	2001	citalopram	citalopram	approved				SLC6A4	approved	repurposing	3
alzheimer	NCT00018291	2001	gabapentin	gabapentin	approved				CACNA2D1	approved	repurposing	3
ftd/als	NCT00021697	2001	avp-923	dextromethorphan,quinidine	combination				SIGMAR1	approved	combination	4
alzheimer	NCT00021723	2001	an-1792 also known as aip-001	an1792	experimental			OMIM	APP	non	novel, supported	1
alzheimer	NCT00024531	2000	atorvastatin calcium	atorvastatin	approved				HMGCR	approved	repurposing	3
huntington	NCT00026988	2001	creatine	creatine	supplement				CKM	approved	metoo	5
huntington	NCT00029874	2001	minocycline	minocycline	approved					non	repurposing	3
parkinson	NCT00030979	2002	donepezil	donepezil	approved				ACHE	approved	repurposing	3
alzheimer	NCT00034762	2000	risperidone	risperidone	approved		985.4976043805613		HTR2A	approved	repurposing	3
ftd/als	NCT00035815	2003	insulin like growth factor, type 1	myotrophin	experimental		1485.3388090349076		IGF1	non	novel, unsup	2
alzheimer	NCT00036114	2000	aripiprazole	aripiprazole	approved				DRD2	approved	repurposing	3
parkinson	NCT00036205	2000	sumanirole	sumanirole	approved					non	repurposing	3
parkinson	NCT00036218	2001	sumanirole	sumanirole	approved					non	repurposing	3
parkinson	NCT00036296	2006	talampanel	talampanel	experimental		3.7344284736481863			non	novel, unsup	2
ftd/als	NCT00036413	2002	tch346	omigapil	experimental		32.8870636550308			non	novel, unsup	2
parkinson	NCT00040209	2002	jp 1730	fipamezole	experimental				ADRA2A	approved	metoo	5
parkinson	NCT00040404	2002	cep-1347 10mg	cep-1347	experimental		2756.1779603011637			non	novel, unsup	2
alzheimer	NCT00040443	2002	cx516	cx516	experimental		379.46611909650926			non	novel, unsup	2
alzheimer	NCT00041678	2000	aripiprazole	aripiprazole	approved				DRD2	approved	repurposing	3
alzheimer	NCT00042172	2002	ginkgo biloba extract	ginkgo biloba	approved					non	repurposing	3
multiple	NCT00043849	2002	quetiapine	quetiapine	approved				HTR2A	approved	repurposing	3
ftd/als	NCT00047723	2003	minocycline	minocycline	approved					non	repurposing	3
alzheimer	NCT00051909	2002	ly451395	mibampator	experimental				GRIA1	approved	metoo	5
alzheimer	NCT00053599	2002	simvastatin	simvastatin	approved				HMGCR	approved	repurposing	3
alzheimer	NCT00056225	2003	folate	folic acid	supplement		1500.561259411362			non	novel, unsup	2
alzheimer	NCT00056329	2002	multivitamin	multivitamin	supplement		3529.226557152635			non	novel, unsup	2
ftd/als	NCT00056524	2003	avp-923	dextromethorphan,quinidine	combination				SIGMAR1	approved	combination	4
parkinson	NCT00058838	2003	sumanirole	sumanirole	approved					non	repurposing	3
parkinson	NCT00062738	2003	nortriptyline	nortriptyline	approved		290.5735797399042		SLC6A2	approved	repurposing	3
parkinson	NCT00063193	2003	minocycline	minocycline	approved					non	repurposing	3
alzheimer	NCT00063310	2003	leuprolide acetate	leuprolide	approved				GNRHR	approved	repurposing	3
alzheimer	NCT00065169	2000	celecoxib	celecoxib	approved				PTGS2	approved	repurposing	3
alzheimer	NCT00065767	2001	raloxifene	raloxifene	approved				ESR1	approved	repurposing	3
alzheimer	NCT00066157	2001	medroxyprogesterone	medroxyprogesterone	approved		262.4065708418891		PGR	approved	repurposing	3
ftd/als	NCT00069186	2003	creatine monohydrate	creatine	supplement				CKM	approved	metoo	5
alzheimer	NCT00069849	2003	abt-089	pozanicline	experimental					non	novel, unsup	2
parkinson	NCT00070928	2000	valerian	valerian	supplement					non	novel, unsup	2
parkinson	NCT00070941	2003	sam-e	ademetionine	supplement		210.32443531827516			non	novel, unsup	2
ftd/als	NCT00070993	2002	creatine monohydrate	creatine	supplement				CKM	approved	metoo	5
alzheimer	NCT00071721	2003	valproate	valproic acid	approved		1930.7022587268993		HDAC9	approved	repurposing	3
ftd/als	NCT00072709	2003	tch346	omigapil	experimental		689.4099931553731			non	novel, unsup	2
alzheimer	NCT00073658	2000	citalopram	citalopram	approved				SLC6A4	approved	repurposing	3
alzheimer	NCT00074529	2003	mk0677	ibutamoren	experimental		1153.6646132785763		GHSR	non	novel, unsup	2
alzheimer	NCT00076440	2003	leuprolide acetate	leuprolide	approved				GNRHR	approved	repurposing	3
parkinson	NCT00076492	2004	coq10	ubidecarenone	supplement				NDUFV3	approved	metoo	5
ftd/als	NCT00076687	2003	botulinum toxin type a	botulinum toxin a	approved		904.3258042436687		SNAP25	approved	repurposing	3
alzheimer	NCT00082602	2004	galantamine er	galantamine	approved	2001	76.12594113620807		ACHE	approved	post-approval	7
alzheimer	NCT00083421	2004	ono-2506po	arundic acid	experimental		1992.8131416837782			non	novel, unsup	2
alzheimer	NCT00083590	2004	huperzine a	huperzine a	approved					non	repurposing	3
alzheimer	NCT00086138	2004	sertraline (zoloft)	sertraline	approved		654.9103353867214		SLC6A4	approved	repurposing	3
parkinson	NCT00086190	2005	paroxetine	paroxetine	approved		508.1724845995893		SLC6A4	approved	repurposing	3
parkinson	NCT00086294	2004	acp-103	pimavanserin	approved				HTR2A	approved	repurposing	3
parkinson	NCT00087542	2004	acp-103	pimavanserin	approved				HTR2A	approved	repurposing	3
alzheimer	NCT00087724	2004	fk962	fk962	experimental					non	novel, unsup	2
alzheimer	NCT00087789	2004	cere-110: adeno-associated virus delivery of ngf	cere-110	experimental		59.13757700205339		NGF	non	novel, unsup	2
alzheimer	NCT00088387	2004	divalproex	valproic acid	approved				HDAC9	approved	repurposing	3
alzheimer	NCT00088673	2004	3aps	tramiprosate	experimental					non	novel, unsup	2
parkinson	NCT00089622	2004	lisuride transdermal system	lisuride	approved				DRD4	approved	repurposing	3
alzheimer	NCT00090116	2003	neramexane	neramexane	experimental					non	novel, unsup	2
alzheimer	NCT00090402	2004	lipoic acid	lipoic acid	supplement		129.94661190965093			non	novel, unsup	2
alzheimer	NCT00093951	2004	sgs742	sgs742	experimental				GABRB1	approved	metoo	5
huntington	NCT00095355	2004	divalproex	valproic acid	approved				HDAC9	approved	repurposing	3
alzheimer	NCT00095719	2003	aripiprazole	aripiprazole	approved				DRD2	approved	repurposing	3
parkinson	NCT00095810	2003	aripiprazole	aripiprazole	approved				DRD2	approved	repurposing	3
alzheimer	NCT00096473	2001	donepezil hydrochloride	donepezil	approved	1996	1068.35318275154		ACHE	approved	post-approval	7
alzheimer	NCT00097916	2004	memantine hcl	memantine	approved	2003	53.711156741957566		GRIN1	approved	post-approval	7
alzheimer	NCT00099242	2003	rivastigmine transdermal patch	rivastigmine	approved	2000			ACHE	approved	post-approval	7
parkinson	NCT00099268	2004	carbidopa/levodopa/entacapone	carbidopa,levodopa	combination		3112.7556468172484		DRD1	approved	combination	4
alzheimer	NCT00099710	2003	curcumin c3 complex	curcumin	supplement					non	novel, unsup	2
alzheimer	NCT00100282	2003	ppi-1019 (apan)	apan	experimental					non	novel, unsup	2
alzheimer	NCT00100334	2004	ppi-1019 (apan)	apan	experimental					non	novel, unsup	2
alzheimer	NCT00103649	2003	xaliproden (sr57746a)	xaliproden	experimental		5113.155373032169			non	novel, unsup	2
alzheimer	NCT00104013	2003	xaliproden (sr57746a)	xaliproden	experimental		5820			non	novel, unsup	2
alzheimer	NCT00104273	2004	rasagiline	rasagiline	approved				MAOB	approved	repurposing	3
alzheimer	NCT00104442	2003	rivastigmine	rivastigmine	approved	2000			ACHE	approved	post-approval	7
alzheimer	NCT00105105	2003	mifepristone	mifepristone	approved				PGR	approved	repurposing	3
parkinson	NCT00105508	2004	sarizotan	sarizotan	approved		714.8418891170431			non	repurposing	3
parkinson	NCT00105521	2004	sarizotan	sarizotan	approved		596.0465434633812			non	repurposing	3
alzheimer	NCT00105547	2005	mpc-7869	flurizan	experimental		5190.9650924024645	OMIM	PSEN1	non	novel, supported	1
ftd/als	NCT00107770	2005	sodium phenylbutyrate	sodium phenylbutyrate	approved		96.70088980150582			non	repurposing	3
parkinson	NCT00108667	2005	talampanel	talampanel	experimental					non	novel, unsup	2
alzheimer	NCT00110552	2005	salvia officinalis (sage)	salvia officinalis	supplement		1026.88295687885			non	novel, unsup	2
parkinson	NCT00111982	2003	liatermin	liatermin	experimental		73.81793292265571		GDNF	non	novel, unsup	2
alzheimer	NCT00112073	2005	bapineuzumab	bapineuzumab	experimental		858.4804928131417	OMIM	APP	non	novel, supported	1
parkinson	NCT00115427	2003	liatermin (r-methugdnf)	liatermin	experimental				GDNF	non	novel, unsup	2
alzheimer	NCT00117403	2006	vitamin e, vitamin c, and alpha-lipoic acid	vitamin e	supplement					non	novel, unsup	2
parkinson	NCT00125138	2005	melperone hcl	melperone	experimental		247.63860369609856		DRD2	approved	metoo	5
ftd/als	NCT00125203	2003	botulinum toxin type b (myobloc)	botulinum toxin b	approved				VAMP1	approved	repurposing	3
parkinson	NCT00125567	2005	levodopa/carbidopa	carbidopa,levodopa	combination		798.5872689938399		DRD1	approved	combination	4
ftd/als	NCT00127114	2005	amantadine	amantadine	approved		0		GRIN3A	approved	repurposing	3
parkinson	NCT00129181	2005	cabergoline	cabergoline	approved		59.95893223819302		DRD2	approved	repurposing	3
alzheimer	NCT00130429	2004	pym50028	smilagenin	experimental					non	novel, unsup	2
parkinson	NCT00134251	2005	slv308	pardoprunox	experimental					non	novel, unsup	2
alzheimer	NCT00134953	2003	rivastigmine	rivastigmine	approved	2000			ACHE	approved	post-approval	7
parkinson	NCT00134966	2005	capsules containing: carbidopa (25 mg), levodopa (100 mg), entacapone (200 mg)	carbidopa,levodopa	combination		1027.1676933607118		DRD1	approved	combination	4
ftd/als	NCT00136110	2005	sodium valproate	valproic acid	approved		303.1211498973306		HDAC9	approved	repurposing	3
parkinson	NCT00139867	2004	parcopa	carbidopa,levodopa	combination				DRD1	approved	combination	4
parkinson	NCT00139880	2005	parcopa	carbidopa,levodopa	combination				DRD1	approved	combination	4
ftd/als	NCT00140218	2005	r(+) pramipexole dihydrochloride monohydrate	pramipexole	approved		40		DRD3	approved	repurposing	3
