intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	db_target	db_status	incl_count
"antillanisée" mini mental state examination (mmsea)	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03324711","NCT03324711")						0
(11c)pe2i	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03675282","NCT03675282")						0
(18f)-feppa	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02945774","NCT02945774")						0
(2)-epigallocatechin-3-gallate (egcg)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01357681","NCT01357681")						1
0 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")						1
0% unweighed bwstt	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03799887","NCT03799887")						1
0.04 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
0.08 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
0.2 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
0.3 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")						1
0.4 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
0.6 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
0.8 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
0.9% sodium chloride	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01313845","NCT01313845")						1
0.9% sodium chloride (normal saline)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00623363","NCT00623363")						1
009-0	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")						0
009-1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")						0
009-2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")						0
009-3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")						0
009-4	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")						0
009-5	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")						0
009-a0	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")						1
009-a1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")						1
009-a2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")						1
009-a3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")						1
009-b1 (active --> placebo) crossover	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")						1
