nct	intervention_name	intervention_type
NCT00912288	dimebon 20 mg po tid	drug
NCT00912288	placebo po tid	drug
NCT00438568	regular insulin	drug
NCT00438568	placebo	drug
NCT00838084	ly2811376	drug
NCT00838084	placebo	drug
NCT04212637	mri	other
NCT00203034	rasagiline mesylate	drug
NCT00203034	1.0 mg rasagiline mesylate	drug
NCT00203034	placebo	other
NCT00857532	florbetapir f 18	drug
NCT03046121	family-centered function-focused care (fam-ffc)	behavioral
NCT01602393	chf 5074 1x	drug
NCT01602393	chf 5074 2x	drug
NCT01602393	chf 5074 3x	drug
NCT03991988	montelukast	drug
NCT03991988	placebo oral tablet	drug
NCT02759003	nightime niv initiation	procedure
NCT02719938	specialty palliative care	behavioral
NCT01162226	gait and balance training program	behavioral
NCT02312232	levodopa, carbidopa, odm-104	drug
NCT01565395	incobotulinum toxin a	drug
NCT01565395	placebo	drug
NCT00216515	galantamine hydrobromide	drug
NCT03635879	mctprocal medical food	other
NCT03635879	milk/tricaprilin oil blend	other
NCT03635879	ac-1207	other
NCT03635879	ac-1205	other
NCT03635879	ac-1206	other
NCT03635879	ac-1202	drug
NCT04291027	land based exercise	other
NCT04291027	aquatic exercise	other
NCT03292445	immune tolerance after kidney transplant	procedure
NCT03292445	donor blood stem cells and t cells	drug
NCT03846492	transcranial direct current stimulation (tdcs)	device
NCT02709330	lunasin regimen	drug
NCT02709330	historical control	other
NCT03800524	tauroursodeoxycholic acid	drug
NCT03800524	placebo	drug
NCT02284906	pioglitazone	drug
NCT02284906	placebo	drug
NCT02215200	anti-thymocyte globulin (atg)	drug
NCT02215200	granulocyte colony stimulating factor (gcsf)	drug
NCT02215200	placebo (for atg)	drug
NCT02215200	placebo (for gcsf)	drug
NCT02833792	human mesenchymal stem cells and lactated riunger's solution	drug
NCT02833792	placebo	other
NCT03446001	trx0237 16 mg/day	drug
NCT03446001	placebo	drug
NCT03446001	trx0237 8 mg/day	drug
NCT03810794	acupuncture	other
NCT03810794	donepezil	drug
NCT01494480	stem cell transplantation	procedure
NCT02243982	[f18]-fddnp	other
NCT00439166	doxycycline	drug
NCT00439166	rifampicin	drug
NCT00439166	placebo matched to doxycycline	drug
NCT00439166	placebo matched to rifampin	drug
NCT00809302	aplindore mr tablets or placebo	drug
NCT02438202	thymatron iv device (somatics)	device
NCT03239561	[18f]mni-1020	drug
NCT03119961	sonocloud®	device
NCT00692328	levodopa or acupuncture	behavioral
NCT00990613	dimebon ir	drug
NCT00990613	dimebon transdermal	drug
NCT00990613	dimebon transdermal	drug
NCT00990613	dimebon ir	drug
NCT00990613	dimebon transdermal	drug
NCT02881476	biological: cell-based therapy	other
NCT00139321	force platform and electromyography	device
NCT01880151	eeg	device
NCT00632736	ropinirole xl (formerly cr)	drug
NCT03888287	watch rx system	device
NCT03888287	parkinson's disease inpatient clinical knowledge and management program	other
NCT00882895	stem cell infusion	procedure
NCT00882895	tli	procedure
NCT00882895	anti-thymocyte globulin	drug
NCT00882895	solumedrol	drug
NCT00882895	tacrolimus	drug
NCT00882895	mycophenolate mofetil	drug
NCT02323217	[11c]bu99008	radiation
NCT02323217	idazoxan	drug
NCT02323217	isocarboxazid	drug
NCT03837548	training with neurofeedback	other
NCT03837548	the other training with neurofeedback	other
NCT02716662	axona	dietary supplement
NCT04193267	magstim rapid2 transcranial magnetic simulation	device
NCT02164643	flutemetamol (18f)	drug
NCT02164643	florbetapir (18f)	drug
NCT00017550	anti-thymocyte globulin	biological
NCT03960931	aquatic rehabilitation	other
NCT03960931	land based physical activities	other
NCT03960931	conventional rehabilitation	other
NCT01072812	posiphen® tartrate capsules	drug
NCT03641768	mri	device
NCT03641768	pet	device
NCT03641768	18f-florbetapir	device
NCT03641768	radioligand 18f-av-1451	device
NCT00637260	motor cortex stimulation on.	device
NCT00637260	motor cortex stimulation off	device
NCT03781791	active investigational treatment ent-01	drug
NCT03781791	placebo treatment	drug
NCT01845883	deep brain stimulation (dbs)	procedure
NCT02462161	insulin aspart	drug
NCT02462161	placebo	drug
NCT02495571	cough assessment in als patients	other
NCT00623363	piclozotan	drug
NCT00623363	0.9% sodium chloride (normal saline)	drug
NCT01806857	nuedexta	drug
NCT01806857	matching placebo	drug
NCT04224961	respiratory muscle training	device
NCT00090402	fish oil	dietary supplement
NCT00090402	lipoic acid	dietary supplement
NCT00090402	fish oil placebo	other
NCT00090402	lipoic acid placebo	other
NCT00432081	indomethacin	drug
NCT02841605	rectosigmoidoscopy with colonic biopsies	procedure
NCT02841605	colonoscopy with colonic biopsies	procedure
NCT01080794	repetitive transcranial magnetic stimulation (rtms)	device
NCT01582919	neuroimaging	other
NCT02778581	lipidic blend 1	dietary supplement
NCT02778581	lipidic blend 2	dietary supplement
NCT02778581	placebo	dietary supplement
NCT00076492	coq10	drug
NCT00076492	gpi 1485	drug
NCT02249403	talsaclidine 6 mg	drug
NCT02249403	talsaclidine 12 mg	drug
NCT02249403	talsaclidine 24 mg	drug
NCT02249403	talsaclidine 36 mg	drug
NCT02249403	placebo	drug
NCT00940914	ioflupane 123i (datscan®)	drug
NCT01896115	vercise dbs settings	device
NCT01172379	e2007	drug
NCT01172379	e2007	drug
NCT01172379	e2007	drug
NCT01172379	placebo comparator	other
NCT02542696	apl-130277	drug
NCT02799381	abt-slv187	drug
