intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments
"antillanisée" mini mental state examination (mmsea)	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03324711","NCT03324711")			
(11c)pe2i	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03675282","NCT03675282")			
(18f)-feppa	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02945774","NCT02945774")			
(2)-epigallocatechin-3-gallate (egcg)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01357681","NCT01357681")			
0 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")			
0% unweighed bwstt	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03799887","NCT03799887")			
0.04 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
0.08 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
0.2 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
0.3 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")			
0.4 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
0.6 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
0.8 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
0.9% sodium chloride	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01313845","NCT01313845")			
0.9% sodium chloride (normal saline)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00623363","NCT00623363")			
009-0	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")			
009-1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")			
009-2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")			
009-3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")			
009-4	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")			
009-5	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03822364","NCT03822364")			
009-a0	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")			
009-a1	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")			
009-a2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")			
009-a3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")			
009-b1 (active --> placebo) crossover	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")			
009-b2 (placebo --> active) crossover	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")			
1 ma hd-tdcs	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03875326","NCT03875326")			
1 mg qd to 15 mg qd pf-06649751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")			
1 mg qd to 7 mg qd pf-06649751 (if de-escalated in parent study)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")			
1 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")			
1 mo baseline before visual cue	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00320242","NCT00320242")			
1-month of 60-40 mct oil	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02709356","NCT02709356")			
1-month of c8 mct oil	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02709356","NCT02709356")			
1-month pilot trial of closed-loop vs. open-loop stimulation	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03582891","NCT03582891")			
1. amyloid pet；2. t807 pet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03969732","NCT03969732")			
1. tesofensine (ns 2330)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00148512","NCT00148512")			
1.0 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
1.0 mg rasagiline mesylate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00203034","NCT00203034")			
1.0 miu il-2 per day	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02059759","NCT02059759")			
1.2 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")			
10 daily fractions of 2 gy	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02359864","NCT02359864")			
10 gy in 5 daily fractions	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02769000","NCT02769000")			
10 mg ir in study 326	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00566501","NCT00566501")			
10% unweighed bwstt	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03799887","NCT03799887")			
100 million cells allogeneic hmsc	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04040348","NCT04040348")			
1072nm infrared photobiomodulation	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01059877","NCT01059877")			
10hz tms with h2 coil to prefrontal and parieto-temporal cortex	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00753662","NCT00753662")			
111in ibritumomab	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01490723","NCT01490723")			
11c-er176	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03958630","NCT03958630")			
11c-jnj-63779586	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03089918","NCT03089918")			
11c-l-deprenyl-d2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01701089","NCT01701089")			
11c-methylreboxetine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")			
11c-pbr28	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02831283","NCT02831283")			
11c-pib	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03757910","NCT03757910")			
11c-pib pet scan	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00811122","NCT00811122")			
11c-ucb-j pet-ct	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04243304","NCT04243304")			
12-month study visit	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03882879","NCT03882879")			
123 i - altropane®	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00724906","NCT00724906")			
123-i mni-168	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00870519","NCT00870519")			
123-i mni-187 injection and imaging procedures	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00456417","NCT00456417")			
123-i mni-340	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00968097","NCT00968097")			
123i-mibg	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03094910","NCT03094910")			
13n-ammonia	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")			
15 mg qd de-escalated to 7 mg qd pf-06649751 in parent study remain at 7 mg qd	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")			
15 mg qd pf-06649751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")			
15mg t3d-959	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04251182","NCT04251182")			
18-f-flortaucipir	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03821857","NCT03821857")			
