intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	regulatory_status	comment	priority
antillanisée mini mental state examination (mmsea)	diagnostic test	1	NCT03324711	none					FALSE
(11c)pe2i	drug	1	NCT03675282	molecular		radiopharmaceutical			FALSE
(18f)-feppa	radiation	1	NCT02945774	molecular		radiopharmaceutical			FALSE
(2)-epigallocatechin-3-gallate (egcg)	drug	1	NCT01357681	molecular	AHR	DrugBank says questionable	supplements		FALSE
0 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4		approved		FALSE
0% unweighed bwstt	behavioral	1	NCT03799887	behavioral					FALSE
0.04 mg lu ae04621	drug	1	NCT02649608	molecular		?	experimental	Dopamine modulators	FALSE
0.08 mg lu ae04621	drug	1	NCT02649608	molecular		?	experimental		FALSE
0.2 mg lu ae04621	drug	1	NCT02649608	molecular		?	experimental		FALSE
0.3 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4		approved		FALSE
0.4 mg lu ae04621	drug	1	NCT02649608	molecular		?	experimental		FALSE
0.6 mg lu ae04621	drug	1	NCT02649608	molecular		?	experimental		FALSE
0.8 mg lu ae04621	drug	1	NCT02649608	molecular		?	experimental		FALSE
0.9% sodium chloride	drug	1	NCT01313845	placebo					FALSE
0.9% sodium chloride (normal saline)	drug	1	NCT00623363	placebo					FALSE
009-0 (Apomorphine)	drug	1	NCT03822364	molecular	DRD3		approved		FALSE
009-1 (Apomorphine)	drug	1	NCT03822364	molecular	DRD3		approved		FALSE
009-2 (Apomorphine)	drug	1	NCT03822364	molecular	DRD3		approved		FALSE
009-3 (Apomorphine)	drug	1	NCT03822364	molecular	DRD3		approved		FALSE
009-4 (Apomorphine)	drug	1	NCT03822364	molecular	DRD3		approved		FALSE
009-5 (Apomorphine)	drug	1	NCT03822364	molecular	DRD3		approved		FALSE
009-a0 (Apomorphine)	drug	1	NCT04157933	molecular	DRD3		approved		FALSE
009-a1 (Apomorphine)	drug	1	NCT04157933	molecular	DRD3		approved		FALSE
009-a2 (Apomorphine)	drug	1	NCT04157933	molecular	DRD3		approved		FALSE
009-a3 (Apomorphine)	drug	1	NCT04157933	molecular	DRD3		approved		FALSE
009-b1 (active --> placebo) crossover	drug	1	NCT04157933						FALSE
009-b2 (placebo --> active) crossover	drug	1	NCT04157933						FALSE
1 ma hd-tdcs	device	1	NCT03875326	device					FALSE
1 mg qd to 15 mg qd pf-06649751 (Tavapadon)	drug	1	NCT03185481	molecular	DRD1		experimental		FALSE
1 mg qd to 7 mg qd pf-06649751 (Tavapadon)	drug	1	NCT03185481	molecular	DRD1		experimental		FALSE
